"phase","is_practice","round","MSIT_trial_type","trial_duration","fixation_duration","stimulus","rt","key_press","correct_response","correct","is_missed","MSIT_trials_performed","time_elapsed","worker_ID","match_screen_side","n_matches","mismatch_screen_side","n_mismatches","demand_selection_trials_performed","message_duration","event","trial","time"
"demand selection","false","2","","3000","","","","leftarrow","","","false","","247895","","right","14","left","7","13","500","","",""
"MSIT","false","2","mismatching","1000","250","2 2 1","573.8349999301136","1","1","true","false","1","249223","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 1 1","567.0150000369176","2","2","true","false","2","250045","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 3 1","729.4150000670925","1","1","true","false","3","251026","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 1 1","549.8299999162555","2","2","true","false","4","251829","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 3 1","537.8600000403821","1","1","true","false","5","252623","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 3 2","580.5050000781193","3","3","true","false","6","253458","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 3","703.0249999370426","2","1","false","false","7","254414","","","","","","","","","",""
"demand selection","false","2","","3000","","","","leftarrow","","","false","","254993","","right","12","left","7","14","500","","",""
"MSIT","false","2","mismatching","1000","250","2 1 1","508.4649999625981","2","2","true","false","1","256260","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 3 2","607.7349999686703","2","2","true","false","2","257121","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 3 2","468.2999999495223","2","2","true","false","3","257841","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 1 2","502.08000000566244","1","1","true","false","4","258599","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 3 2","678.1450000125915","2","2","true","false","5","259530","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","2 2 1","521.6300000902265","1","1","true","false","6","260308","","","","","","","","","",""
"MSIT","false","2","mismatching","1000","250","3 1 3","449.68999992124736","1","1","true","false","7","261014","","","","","","","","","",""
"demand selection","false","2","","3000","","","","leftarrow","","","false","","261678","","left","16","right","6","15","500","","",""
"MSIT","false","2","matching","1000","250","1 2 1","416.6150001110509","2","2","true","false","1","262851","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 1","365.49999995622784","2","2","true","false","2","263471","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 3 3","446.460000006482","1","1","true","false","3","264172","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 2","398.38999998755753","1","1","true","false","4","264826","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","512.2050000354648","2","2","true","false","5","265590","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","456.040000077337","2","2","true","false","6","266302","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","405.5399999488145","2","2","true","false","7","266959","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 1","413.1599999964237","2","2","true","false","8","267623","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 2 2","622.8450000053272","1","1","true","false","9","268500","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","542.0699999667704","2","2","true","false","10","269296","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","1 1 3","625.8199999574572","3","3","true","false","11","270172","","","","","","","","","",""
"MSIT","false","2","matching","1000","250","3 2 3","468.860000022687","2","2","true","false","12","270897","","","","","","","","","",""
